Month,Year,Site,Order,Family,Units,Avg,Stdev,randomprob,Length (mm),MassOligos,a,b,Mass,Production,Notes,,,
June,2021,Dock,Hirudinea,Hirudinea,0.35,3.5,3.09,0.634682795,0.35,,0.06457,2.12,0.006973568,,,,,
June,2018,Dock,Hirudinea,Hirudinea,0.35,3.5,3.09,0.361757999,0.35,,0.06457,2.12,0.006973568,,,,,
June,2018,Dock,Hirudinea,Hirudinea,0.35,3.5,3.09,0.491317332,0.35,,0.06457,2.12,0.006973568,,,,,
June,2018,Dock,Hirudinea,Hirudinea,0.35,3.5,3.09,0.532816646,0.35,,0.06457,2.12,0.006973568,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.67,5.05,2.49,0.540091367,1.67,,0.0018,2.617,0.00688845,,,,,
June,2021,T5,Diptera,Chironomidae,1.67,14.36,4.74,0.570785948,1.67,,0.0018,2.617,0.00688845,,,,,
June,2021,T5,Diptera,Chironomidae,1.67,14.36,4.74,0.521659856,1.67,,0.0018,2.617,0.00688845,,,,,
June,2022,Alder,Megaloptera,Sialidae,1.25,8.27,4.75,0.483997162,1.25,,0.0037,2.753,0.006839038,,,,,
June,2022,Alder,Megaloptera,Sialidae,1.25,8.27,4.75,0.379196658,1.25,,0.0037,2.753,0.006839038,,,,,
July,2017,T1,Odonata,Corduliidae,1.11,9.51,4.38,0.447686358,1.11,,0.0051,2.785,0.006820162,,,,,
June,2021,T1,gastropoda,physidae,0.73,5.33,1.54,0.290481232,0.73,,0.01925,3.3,0.006813907,,,,,
June,2021,T1,gastropoda,physidae,0.73,5.33,1.54,0.254181154,0.73,,0.01925,3.3,0.006813907,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.66,9.7,5.74,0.546335539,1.66,,0.0018,2.617,0.006781025,,,,,
Aug/Sept,2022,T4,Diptera,Chironomidae,1.66,9.7,5.74,0.565062508,1.66,,0.0018,2.617,0.006781025,,,,,
Aug/Sept,2021,T5,Diptera,Chironomidae,1.66,14.36,4.74,0.502604539,1.66,,0.0018,2.617,0.006781025,,,,,
Aug/Sept,2021,T5,Diptera,Chironomidae,1.66,14.36,4.74,0.632482939,1.66,,0.0018,2.617,0.006781025,,,,,
Aug/Sept,2022,Alder,Trichoptera,Sericostomatidae,1.03,#N/A,#N/A,0.588329531,1.03,,0.0062,2.7867,0.006732327,,,,,
June,2020,Alder,Trichoptera,Sericostomatidae,1.03,#N/A,#N/A,0.380158327,1.03,,0.0062,2.7867,0.006732327,,,,,
June,2020,Alder,Trichoptera,Sericostomatidae,1.03,#N/A,#N/A,0.359811365,1.03,,0.0062,2.7867,0.006732327,,,,,
Aug/Sept,2018,Alder,megaloptera,Sialidae,1.24,8.27,4.75,0.377817397,1.24,,0.0037,2.753,0.006689469,,,,,
June,2018,Alder,megaloptera,Sialidae,1.24,8.27,4.75,0.632626315,1.24,,0.0037,2.753,0.006689469,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.65,5.05,2.49,0.536860618,1.65,,0.0018,2.617,0.006674642,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.65,14.36,4.74,0.541479506,1.65,,0.0018,2.617,0.006674642,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.65,14.36,4.74,0.725903237,1.65,,0.0018,2.617,0.006674642,,,,,
Aug/Sept,2021,T5,Diptera,Chironomidae,1.65,14.36,4.74,0.279216679,1.65,,0.0018,2.617,0.006674642,,,,,
Aug/Sept,2021,T5,Diptera,Chironomidae,1.65,14.36,4.74,0.596734208,1.65,,0.0018,2.617,0.006674642,,,,,
July,2019,T5,Diptera,Chironomidae,1.65,14.36,4.74,0.620269702,1.65,,0.0018,2.617,0.006674642,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.64,9.7,5.74,0.41691046,1.64,,0.0018,2.617,0.006569296,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.64,14.36,4.74,0.39628137,1.64,,0.0018,2.617,0.006569296,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.64,14.36,4.74,0.606171711,1.64,,0.0018,2.617,0.006569296,,,,,
July,2017,T5,Diptera,Chironomidae,1.64,14.36,4.74,0.652558593,1.64,,0.0018,2.617,0.006569296,,,,,
June,2018,Dock,Hirudinea,Hirudinea,0.34,3.5,3.09,0.287521054,0.34,,0.06457,2.12,0.00655792,,,,,
July,2023,Alder,Nematoda?,Nematoda?,1.23,#N/A,#N/A,0.748788222,1.23,,0.0037,2.753,0.006541999,,,,,
June,2022,Dock,Trichoptera,Lepidostomatidae,0.93,9.37,2.07,0.495431906,0.93,,0.0079,2.649,0.006518361,,,,,
June,2021,Dock,Trichoptera,Limnephilidae,1.18,9.79,4.34,0.613273156,1.18,,0.004,2.933,0.006499649,,,,,
June,2021,Dock,Trichoptera,Limnephilidae,1.18,9.79,4.34,0.332525364,1.18,,0.004,2.933,0.006499649,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.63,9.7,5.74,0.648350057,1.63,,0.0018,2.617,0.006464984,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.63,14.36,4.74,0.489120994,1.63,,0.0018,2.617,0.006464984,,,,,
July,2017,T5,Diptera,Chironomidae,1.63,14.36,4.74,0.344680373,1.63,,0.0018,2.617,0.006464984,,,,,
July,2022,T5,Diptera,Chironomidae,1.63,14.36,4.74,0.492155609,1.63,,0.0018,2.617,0.006464984,,,,,
July,2023,T5,Diptera,Chironomidae,1.63,14.36,4.74,0.661543679,1.63,,0.0018,2.617,0.006464984,,,,,
June,2022,Dock,Ephemeroptera,Baetidae,1.07,4.19,2.99,0.436993593,1.07,,0.0053,2.875,0.006438048,,,,,
June,2016,Alder,Bivalvia,Pisidium,0.69,2.77,0.83,0.737419823,0.69,,0.0163,2.477,0.00640198,,,,,
Aug/Sept,2018,Alder,Megaloptera,Sialidae,1.22,8.27,4.75,0.620433043,1.22,,0.0037,2.753,0.006396617,,,,,
July,2019,Alder,Megaloptera,Sialidae,1.22,8.27,4.75,0.407945904,1.22,,0.0037,2.753,0.006396617,,,,,
June,2020,Spring,Trombidiformes,Hydrachnidia,1.01,9,NA,0.40129406,1.01,,0.0062,2.7867,0.006374323,,,,,
June,2020,Spring,Trombidiformes,Hydrachnidia,1.01,5.05,2.49,0.524018351,1.01,,0.0062,2.7867,0.006374323,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.62,5.05,2.49,0.664321172,1.62,,0.0018,2.617,0.006361702,,,,,
Aug/Sept,2018,T3,Diptera,Chironomidae,1.62,5.94,2.82,0.658062213,1.62,,0.0018,2.617,0.006361702,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.62,9.7,5.74,0.734277637,1.62,,0.0018,2.617,0.006361702,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.62,14.36,4.74,0.45616689,1.62,,0.0018,2.617,0.006361702,,,,,
July,2017,T5,Diptera,Chironomidae,1.62,14.36,4.74,0.297202956,1.62,,0.0018,2.617,0.006361702,,,,,
July,2018,T5,Diptera,Chironomidae,1.62,14.36,4.74,0.528777886,1.62,,0.0018,2.617,0.006361702,,,,,
June,2016,Alder,Megaloptera,Sialidae,1.21,8.27,4.75,0.422296684,1.21,,0.0037,2.753,0.006314473,,,,,
June,2016,Alder,Trichoptera,Sericostomatidae,0.94,#N/A,#N/A,0.662518027,0.94,,0.0074,2.741,0.006297786,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.61,9.7,5.74,0.598519986,1.61,,0.0018,2.617,0.006259445,,,,,
July,2019,T5,Diptera,Chironomidae,1.61,14.36,4.74,0.639875938,1.61,,0.0018,2.617,0.006259445,,,,,
June,2018,Alder,Megaloptera,Sialidae,1.21,8.27,4.75,0.700653872,1.21,,0.0037,2.753,0.006253308,,,,,
June,2018,Alder,Trichoptera,Sericostomatidae,0.94,#N/A,#N/A,0.269686324,0.94,,0.0074,2.741,0.006245614,,,,,
June,2015,T3,Trombidiformes,Hydrachnidia,1,#N/A,#N/A,0.641477467,1,,0.0062,2.7867,0.0062,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.6,9.7,5.74,0.622583755,1.6,,0.0018,2.617,0.00615821,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.6,14.36,4.74,0.666924221,1.6,,0.0018,2.617,0.00615821,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.6,14.36,4.74,0.264707002,1.6,,0.0018,2.617,0.00615821,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.6,14.36,4.74,0.350745198,1.6,,0.0018,2.617,0.00615821,,,,,
July,2019,T5,Diptera,Chironomidae,1.6,14.36,4.74,0.361847412,1.6,,0.0018,2.617,0.00615821,,,,,
Aug/Sept,2021,Spring,Hirudinea,Hirudinea,0.33,5.02,5.78,0.444415081,0.33,,0.06457,2.12,0.006155741,,,,,
Aug/Sept,2021,Spring,Hirudinea,Hirudinea,0.33,5.02,5.78,0.620868676,0.33,,0.06457,2.12,0.006155741,,,,,
Aug/Sept,2023,Dock,Hirudinea,Hirudinea,0.33,3.5,3.09,0.363340418,0.33,,0.06457,2.12,0.006155741,,,,,
Aug/Sept,2019,Dock,Hirudinea,Hirudinea,0.33,3.5,3.09,0.735239204,0.33,,0.06457,2.12,0.006155741,,,,,
Aug/Sept,2020,Spring,Hirudinea,Hirudinea,0.33,5.02,5.78,0.67300226,0.33,,0.06457,2.12,0.006155741,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.59,5.05,2.49,0.515419817,1.59,,0.0018,2.617,0.006057993,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.59,9.7,5.74,0.511843218,1.59,,0.0018,2.617,0.006057993,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.59,9.7,5.74,0.417450497,1.59,,0.0018,2.617,0.006057993,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.59,9.7,5.74,0.467580332,1.59,,0.0018,2.617,0.006057993,,,,,
July,2023,T5,Diptera,Chironomidae,1.59,14.36,4.74,0.596798053,1.59,,0.0018,2.617,0.006057993,,,,,
June,2020,Alder,Trichoptera,Sericostomatidae,0.99,5.05,2.49,0.625290165,0.99,,0.0062,2.7867,0.006028764,,,,,
Aug/Sept,2018,T1,Ephemeroptera,Caenidae,1.04,3.39,1.89,0.43058609,1.04,,0.0054,2.772,0.00602019,,,,,
July,2022,Alder,megaloptera,Sialidae,1.19,8.27,4.75,0.671764928,1.19,,0.0037,2.753,0.005972862,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.58,9.7,5.74,0.747437849,1.58,,0.0018,2.617,0.00595879,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.58,14.36,4.74,0.399148731,1.58,,0.0018,2.617,0.00595879,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.58,14.36,4.74,0.46455217,1.58,,0.0018,2.617,0.00595879,,,,,
July,2017,T4,Diptera,Chironomidae,1.58,9.7,5.74,0.375083457,1.58,,0.0018,2.617,0.00595879,,,,,
July,2018,Dock,Odonata,Aeshnidae,0.89,10.5,3.02,0.609154978,0.89,,0.0082,2.813,0.005908101,,,,,
June,2016,Alder,Trichoptera,Leptoceridae,1.19,3.56,2.69,0.436649346,1.19,,0.0034,3.212,0.005876285,,,,,
Aug/Sept,2016,Dock,Diptera,Chironomidae,1.57,4.25,2.04,0.633339274,1.57,,0.0018,2.617,0.005874563,,,,,
Aug/Sept,2013,Alder,Diptera,Chironomidae,1.57,4.65,2.28,0.584556148,1.57,,0.0018,2.617,0.005874563,,,,,
Aug/Sept,2014,Alder,Diptera,Chironomidae,1.57,4.65,2.28,0.407884815,1.57,,0.0018,2.617,0.005874563,,,,,
July,2012,Alder,Diptera,Chironomidae,1.57,4.65,2.28,0.688105663,1.57,,0.0018,2.617,0.005874563,,,,,
July,2012,Alder,Diptera,Chironomidae,1.57,4.65,2.28,0.518965891,1.57,,0.0018,2.617,0.005874563,,,,,
June,2013,T4,Diptera,Chironomidae,1.57,9.7,5.74,0.539473423,1.57,,0.0018,2.617,0.005874563,,,,,
July,2017,Alder,Trichoptera,Limnephilidae,1.14,5.96,3.9,0.691505825,1.14,,0.004,2.933,0.005874378,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.57,5.05,2.49,0.368601698,1.57,,0.0018,2.617,0.005860597,,,,,
Aug/Sept,2020,Alder,Odonata,Corduliidae,1.05,12.69,5.19,0.253577017,1.05,,0.0051,2.785,0.00584228,,,,,
June,2023,Spring,Ephemeroptera,baetidae,1.03,5.48,2.6,0.384107796,1.03,,0.0053,2.875,0.005770094,,,,,
Aug/Sept,2020,Dock,Hirudinea,Hirudinea,0.32,3.5,3.09,0.301256172,0.32,,0.06457,2.12,0.005766984,,,,,
Aug/Sept,2020,Dock,Hirudinea,Hirudinea,0.32,3.5,3.09,0.644399371,0.32,,0.06457,2.12,0.005766984,,,,,
July,2020,Dock,Hirudinea,Hirudinea,0.32,3.5,3.09,0.438442633,0.32,,0.06457,2.12,0.005766984,,,,,
Aug/Sept,2018,T3,Diptera,Chironomidae,1.56,5.94,2.82,0.538884975,1.56,,0.0018,2.617,0.005763411,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.56,9.7,5.74,0.513202742,1.56,,0.0018,2.617,0.005763411,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.56,9.7,5.74,0.280634818,1.56,,0.0018,2.617,0.005763411,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.56,9.7,5.74,0.373672371,1.56,,0.0018,2.617,0.005763411,,,,,
Aug/Sept,2020,T5,Diptera,Chironomidae,1.56,14.36,4.74,0.621648492,1.56,,0.0018,2.617,0.005763411,,,,,
June,2023,T4,Diptera ,Chironomidae,0.77,#N/A,#N/A,0.515688597,0.77,,0.0123,2.906,0.005755024,,,,,
June,2016,Alder,Trichoptera,Sericostomatidae,0.97,#N/A,#N/A,0.695347908,0.97,,0.0062,2.7867,0.005718861,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.55,9.7,5.74,0.374253578,1.55,,0.0018,2.617,0.005667226,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.55,14.36,4.74,0.620318259,1.55,,0.0018,2.617,0.005667226,,,,,
July,2020,T5,Diptera,Chironomidae,1.55,14.36,4.74,0.321724199,1.55,,0.0018,2.617,0.005667226,,,,,
June,2023,Alder,Diptera,Chironomidae,1.55,4.65,2.28,0.565815455,1.55,,0.0018,2.617,0.005667226,,,,,
June,2016,Alder,Trichoptera,Leptoceridae,1.17,3.56,2.69,0.38830319,1.17,,0.0034,3.212,0.005651895,,,,,
Aug/Sept,2018,T3,Diptera,Chironomidae,1.54,5.94,2.82,0.281054702,1.54,,0.0018,2.617,0.00557204,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.54,9.7,5.74,0.575042112,1.54,,0.0018,2.617,0.00557204,,,,,
Aug/Sept,2018,Alder,megaloptera,Sialidae,1.16,8.27,4.75,0.263035522,1.16,,0.0037,2.753,0.005567427,,,,,
June,2018,Alder,megaloptera,Sialidae,1.16,8.27,4.75,0.562856042,1.16,,0.0037,2.753,0.005567427,,,,,
June,2016,Alder,Trichoptera,Sericostomatidae,0.9,#N/A,#N/A,0.59265652,0.9,,0.0074,2.741,0.005543837,,,,,
Aug/Sept,2019,Alder,Trichoptera,Sericostomatidae,0.96,5.05,2.49,0.261604843,0.96,,0.0062,2.7867,0.005533335,,,,,
June,2016,Alder,Megaloptera,Sialidae,1.16,8.27,4.75,0.403048897,1.16,,0.0037,2.753,0.005529757,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.53,5.05,2.49,0.499371339,1.53,,0.0018,2.617,0.005477848,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.53,5.05,2.49,0.711867167,1.53,,0.0018,2.617,0.005477848,,,,,
Aug/Sept,2018,T3,Diptera,Chironomidae,1.53,5.94,2.82,0.615138301,1.53,,0.0018,2.617,0.005477848,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.53,9,NA,0.568561771,1.53,,0.0018,2.617,0.005477848,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.53,9.7,5.74,0.717400801,1.53,,0.0018,2.617,0.005477848,,,,,
July,2020,T5,Diptera,Chironomidae,1.53,14.36,4.74,0.627883906,1.53,,0.0018,2.617,0.005477848,,,,,
July,2022,T5,Diptera,Chironomidae,1.53,14.36,4.74,0.261151088,1.53,,0.0018,2.617,0.005477848,,,,,
July,2019,Alder,Trichoptera,Limnephilidae,1.11,5.96,3.9,0.315769162,1.11,,0.004,2.933,0.005432407,,,,,
Aug/Sept,2020,Spring,Hirudinea,Hirudinea,0.31,9,NA,0.569585592,0.31,,0.06457,2.12,0.005391599,,,,,
Aug/Sept,2018,Spring,Hirudinea,Hirudinea,0.31,5.02,5.78,0.734684713,0.31,,0.06457,2.12,0.005391599,,,,,
Aug/Sept,2020,Dock,Hirudinea,Hirudinea,0.31,5.05,2.49,0.529204812,0.31,,0.06457,2.12,0.005391599,,,,,
Aug/Sept,2019,Dock,Hirudinea,Hirudinea,0.31,3.5,3.09,0.584506036,0.31,,0.06457,2.12,0.005391599,,,,,
July,2021,Dock,Hirudinea,Hirudinea,0.31,3.5,3.09,0.682262589,0.31,,0.06457,2.12,0.005391599,,,,,
July,2023,Spring,Hirudinea,Hirudinea,0.31,5.05,2.49,0.717051908,0.31,,0.06457,2.12,0.005391599,,,,,
July,2018,Spring,Hirudinea,Hirudinea,0.31,9,NA,0.505807344,0.31,,0.06457,2.12,0.005391599,,,,,
July,2021,Dock,Hirudinea,Hirudinea,0.31,3.5,3.09,0.487430573,0.31,,0.06457,2.12,0.005391599,,,,,
June,2018,Dock,Hirudinea,Hirudinea,0.31,3.5,3.09,0.48280407,0.31,,0.06457,2.12,0.005391599,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.52,5.05,2.49,0.618613878,1.52,,0.0018,2.617,0.005384646,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.52,9.7,5.74,0.472592451,1.52,,0.0018,2.617,0.005384646,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.52,14.36,4.74,0.547051809,1.52,,0.0018,2.617,0.005384646,,,,,
July,2018,T5,Diptera,Chironomidae,1.52,14.36,4.74,0.50497883,1.52,,0.0018,2.617,0.005384646,,,,,
Aug/Sept,2020,Alder,Trichoptera,Sericostomatidae,0.89,5.05,2.49,0.509617921,0.89,,0.0074,2.741,0.005376625,,,,,
July,2020,T3,Trichoptera,Sericostomatidae,0.89,#N/A,#N/A,0.265072775,0.89,,0.0074,2.741,0.005376625,,,,,
June,2016,T4,Diptera,Chironomidae,1.51,5.05,2.49,0.467237936,1.51,,0.0018,2.617,0.005331831,,,,,
July,2014,T1,Ephemeroptera,Baetidae,1,5.34,2.48,0.310020622,1,,0.0053,2.875,0.0053,,,,,
June,2022,Spring,Ephemeroptera,Baetidae,1,5.48,2.6,0.59860999,1,,0.0053,2.875,0.0053,,,,,
June,2022,Spring,Ephemeroptera,Baetidae,1,5.48,2.6,0.582654005,1,,0.0053,2.875,0.0053,,,,,
Aug/Sept,2021,Alder,Trichoptera,Lepidostomatidae,0.86,6.14,4.56,0.65571704,0.86,,0.0079,2.649,0.005298019,,,,,
Aug/Sept,2021,Alder,Trichoptera,Lepidostomatidae,0.86,6.14,4.56,0.391430944,0.86,,0.0079,2.649,0.005298019,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.51,5.05,2.49,0.615131665,1.51,,0.0018,2.617,0.005292431,,,,,
Aug/Sept,2023,T5,Diptera,Chironomidae,1.51,14.36,4.74,0.657556987,1.51,,0.0018,2.617,0.005292431,,,,,
July,2021,T4,Diptera,Chironomidae,1.51,9.7,5.74,0.672855751,1.51,,0.0018,2.617,0.005292431,,,,,
July,2021,T4,Diptera,Chironomidae,1.51,9.7,5.74,0.708442112,1.51,,0.0018,2.617,0.005292431,,,,,
July,2018,T5,Diptera,Chironomidae,1.51,14.36,4.74,0.68409846,1.51,,0.0018,2.617,0.005292431,,,,,
Aug/Sept,2018,Alder,Odonata,Corduliidae,1.01,12.69,5.19,0.685711386,1.01,,0.0051,2.785,0.005243306,,,,,
Aug/Sept,2016,Dock,Trichoptera,Leptoceridae,1.14,3.21,1.43,0.685427263,1.14,,0.0034,3.212,0.005220944,,,,,
June,2016,Alder,Trichoptera,Leptoceridae,1.14,5.05,2.49,0.570492267,1.14,,0.0034,3.212,0.005220944,,,,,
Aug/Sept,2019,T5,Diptera,Chironomidae,1.5,5.05,2.49,0.379754931,1.5,,0.0018,2.617,0.005201197,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.5,9.7,5.74,0.413284004,1.5,,0.0018,2.617,0.005201197,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.5,9.7,5.74,0.480879784,1.5,,0.0018,2.617,0.005201197,,,,,
Aug/Sept,2023,T5,Diptera,Chironomidae,1.5,14.36,4.74,0.652741983,1.5,,0.0018,2.617,0.005201197,,,,,
June,2021,Alder,megaloptera,Sialidae,1.13,8.27,4.75,0.423376172,1.13,,0.0037,2.753,0.005179963,,,,,
June,2021,Alder,megaloptera,Sialidae,1.13,8.27,4.75,0.707216807,1.13,,0.0037,2.753,0.005179963,,,,,
June,2016,Alder,Bivalvia,Pisidium,0.63,2.77,0.83,0.659012753,0.63,,0.0163,2.477,0.005160741,,,,,
Aug/Sept,2022,Alder,Diptera,?,0.74,#N/A,#N/A,0.407439949,0.74,,0.0123,2.906,0.005127344,,,,,
Aug/Sept,2018,T3,Diptera,Chironomidae,1.49,5.94,2.82,0.364776477,1.49,,0.0018,2.617,0.005110942,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.49,9.7,5.74,0.386106703,1.49,,0.0018,2.617,0.005110942,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.49,9.7,5.74,0.391488536,1.49,,0.0018,2.617,0.005110942,,,,,
July,2023,T1,Diptera,Chironomidae,1.49,5.05,2.49,0.651968849,1.49,,0.0018,2.617,0.005110942,,,,,
Aug/Sept,2022,Alder,Trichoptera,Sericostomatidae,0.93,#N/A,#N/A,0.311188523,0.93,,0.0062,2.7867,0.00506481,,,,,
Aug/Sept,2022,T1,Trichoptera,Sericostomatidae,0.93,#N/A,#N/A,0.557924662,0.93,,0.0062,2.7867,0.00506481,,,,,
Aug/Sept,2020,Dock,Hirudinea,Hirudinea,0.3,3.5,3.09,0.489943269,0.3,,0.06457,2.12,0.005029535,,,,,
Aug/Sept,2020,Spring,Hirudinea,Hirudinea,0.3,5.05,2.49,0.362774938,0.3,,0.06457,2.12,0.005029535,,,,,
July,2017,Dock,Hirudinea,Hirudinea,0.3,3.5,3.09,0.357235355,0.3,,0.06457,2.12,0.005029535,,,,,
July,2018,Dock,Hirudinea,Hirudinea,0.3,3.5,3.09,0.370394118,0.3,,0.06457,2.12,0.005029535,,,,,
June,2021,Dock,Hirudinea,Hirudinea,0.3,3.5,3.09,0.482406166,0.3,,0.06457,2.12,0.005029535,,,,,
June,2021,Dock,Hirudinea,Hirudinea,0.3,3.5,3.09,0.422908455,0.3,,0.06457,2.12,0.005029535,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.48,5.05,2.49,0.289778644,1.48,,0.0018,2.617,0.005021661,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.48,9.7,5.74,0.528405422,1.48,,0.0018,2.617,0.005021661,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.48,9.7,5.74,0.732619084,1.48,,0.0018,2.617,0.005021661,,,,,
Aug/Sept,2022,Alder,Ephemeroptera,?,0.97,#N/A,#N/A,0.582713688,0.97,,0.0054,2.546,0.00499706,,,,,
July,2022,Alder,Ephemeroptera,?,0.97,#N/A,#N/A,0.38963198,0.97,,0.0054,2.546,0.00499706,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.47,9.7,5.74,0.595276661,1.47,,0.0018,2.617,0.00493335,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.47,9.7,5.74,0.64749949,1.47,,0.0018,2.617,0.00493335,,,,,
Aug/Sept,2023,T4,Diptera,Chironomidae,1.47,9.7,5.74,0.564305438,1.47,,0.0018,2.617,0.00493335,,,,,
June,2016,Alder,Trichoptera,Limnephilidae,1.07,5.96,3.9,0.64308999,1.07,,0.004,2.933,0.004897136,,,,,
June,2021,Alder,Trichoptera,Sericostomatidae,0.86,10,0,0.67640487,0.86,,0.0074,2.741,0.004894316,,,,,
June,2016,Alder,Bivalvia,Pisidium,0.61,2.77,0.83,0.332807042,0.61,,0.0163,2.477,0.004875073,,,,,
June,2016,Alder,Bivalvia,Pisidium,0.61,2.77,0.83,0.503607456,0.61,,0.0163,2.477,0.004875073,,,,,
June,2016,Alder,Bivalvia,Pisidium,0.61,2.77,0.83,0.647596824,0.61,,0.0163,2.477,0.004875073,,,,,
June,2016,T4,Bivalvia,Pisidium,0.61,2.84,1.2,0.595952376,0.61,,0.0163,2.477,0.004875073,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.46,9.7,5.74,0.289326711,1.46,,0.0018,2.617,0.004846006,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.46,9.7,5.74,0.440152754,1.46,,0.0018,2.617,0.004846006,,,,,
July,2018,T3,Diptera,Chironomidae,1.46,5.94,2.82,0.51640552,1.46,,0.0018,2.617,0.004846006,,,,,
Aug/Sept,2018,T5,Diptera,Chironomidae,1.45,5.05,2.49,0.736461243,1.45,,0.0018,2.617,0.004759623,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.45,9.7,5.74,0.266245653,1.45,,0.0018,2.617,0.004759623,,,,,
Aug/Sept,2018,T4,Diptera,Chironomidae,1.45,9.7,5.74,0.599181436,1.45,,0.0018,2.617,0.004759623,,,,,
Aug/Sept,2015,Dock,Diptera,Chironomidae,1.44,4.25,2.04,0.647847543,1.44,,0.0018,2.617,0.004698508,,,,,
June,2016,T4,Diptera,Chironomidae,1.44,9.7,5.74,0.656377273,1.44,,0.0018,2.617,0.004698508,,,,,
July,2017,Dock,Hirudinea,Hirudinea,0.29,3.5,3.09,0.275393815,0.29,,0.06457,2.12,0.00468074,,,,,
July,2017,Dock,Hirudinea,Hirudinea,0.29,3.5,3.09,0.689620679,0.29,,0.06457,2.12,0.00468074,,,,,
July,2018,Dock,Hirudinea,Hirudinea,0.29,3.5,3.09,0.670592102,0.29,,0.06457,2.12,0.00468074,,,,,
June,2021,Dock,Hirudinea,Hirudinea,0.29,3.5,3.09,0.352421787,0.29,,0.06457,2.12,0.00468074,,,,,
June,2021,Dock,Hirudinea,Hirudinea,0.29,3.5,3.09,0.694047201,0.29,,0.06457,2.12,0.00468074,,,,,
Aug/Sept,2022,T1,Diptera,Chironomidae,1.44,4.98,2.27,0.715845366,1.44,,0.0018,2.617,0.004674198,,,,,
Aug/Sept,2020,T4,Diptera,Chironomidae,1.44,5.05,2.49,0.662464738,1.44,,0.0018,2.617,0.004674198,,,,,
July,2017,Alder,Trichoptera,Limnephilidae,1.05,5.96,3.9,0.724488071,1.05,,0.004,2.933,0.004615388,,,,,
June,2016,Alder,Bivalvia,Pisidium,0.6,2.77,0.83,0.411322011,0.6,,0.0163,2.477,0.004599051,,,,,
Aug/Sept,2022,Alder,Diptera,Chironomidae,1.43,4.65,2.28,0.597604387,1.43,,0.0018,2.617,0.004589728,,,,,
Aug/Sept,2018,T3,Diptera,Chironomidae,1.43,5.94,2.82,0.452046856,1.43,,0.0018,2.617,0.004589728,,,,,
